subject,accuracy,f1_macro
0,0.625,0.6228786926461345
1,0.625,0.6228786926461345
2,0.575,0.5725958516656191
3,0.525,0.5247029393370857
4,0.725,0.7248280175109443
5,0.425,0.42174732872407295
6,0.45,0.4444444444444444
7,0.5,0.4987468671679198
8,0.55,0.5454545454545454
9,0.5,0.4666666666666667
10,0.6,0.5833333333333333
11,0.6,0.5907928388746804
12,0.775,0.7748592870544091
13,0.525,0.5174603174603174
14,0.575,0.5747342088805503
15,0.5,0.48849104859335035
16,0.675,0.6747967479674797
17,0.575,0.5682539682539682
18,0.35,0.3434343434343434
19,0.75,0.7493734335839599
20,0.7,0.6992481203007519
21,0.625,0.6247654784240151
22,0.4,0.39849624060150374
23,0.425,0.42464040025015637
24,0.35,0.3483709273182957
25,0.4,0.4
26,0.375,0.36507936507936506
27,0.65,0.6491228070175439
28,0.6,0.595959595959596
29,0.575,0.5725958516656191
30,0.825,0.8248905565978737
31,0.7,0.696969696969697
32,0.575,0.5725958516656191
33,0.675,0.6731615336266499
34,0.475,0.47203016970458833
35,0.7,0.7
36,0.775,0.7737272155876807
37,0.4,0.3939393939393939
38,0.6,0.5833333333333333
39,0.475,0.4584139264990329
40,0.75,0.7474747474747474
41,0.325,0.32457786116322707
42,0.775,0.7714285714285715
43,0.475,0.47203016970458833
44,0.825,0.8248905565978737
45,0.725,0.7163120567375887
46,0.525,0.49967083607636603
47,0.45,0.44862155388471175
48,0.55,0.5488721804511278
49,0.65,0.6491228070175439
50,0.925,0.9249530956848031
51,0.325,0.32457786116322707
52,0.5,0.4949494949494949
53,0.325,0.3142857142857143
54,0.475,0.474671669793621
55,0.875,0.8742928975487115
56,0.575,0.5615731785944552
