subject,accuracy,f1_macro
0,0.8,0.7953964194373402
1,0.45,0.4270833333333333
2,0.8,0.797979797979798
3,0.325,0.3142857142857143
4,0.775,0.7737272155876807
5,0.725,0.7234443746071653
6,0.95,0.95
7,0.475,0.47203016970458833
8,0.425,0.3779580797836376
9,0.475,0.474671669793621
10,0.9,0.899749373433584
11,0.775,0.7748592870544091
12,0.825,0.8248905565978737
13,0.425,0.41587301587301584
14,0.5,0.48849104859335035
15,0.625,0.6228786926461345
16,0.525,0.5223130106851037
17,0.9,0.898989898989899
18,0.65,0.6354166666666667
19,0.55,0.53125
20,0.775,0.7737272155876807
21,0.375,0.3552546744036106
22,0.4,0.38618925831202044
23,0.575,0.5615731785944552
24,0.2,0.19799498746867167
25,0.5,0.4987468671679198
26,0.95,0.95
27,0.675,0.6731615336266499
28,0.5,0.5
29,0.625,0.6190476190476191
30,0.65,0.6419437340153453
31,0.65,0.6491228070175439
32,0.775,0.7678916827852997
33,0.65,0.6491228070175439
34,0.55,0.55
35,0.925,0.9245757385292269
36,0.85,0.8484848484848485
37,0.5,0.5
38,0.8,0.7994987468671679
39,0.55,0.55
40,0.5,0.4949494949494949
41,0.425,0.41587301587301584
42,0.65,0.6491228070175439
43,0.775,0.7737272155876807
44,0.475,0.4129979035639413
45,0.675,0.6698412698412699
46,0.525,0.5174603174603174
47,0.775,0.7737272155876807
48,0.275,0.27454659161976236
49,0.725,0.7248280175109443
50,0.85,0.8484848484848485
51,0.475,0.474671669793621
52,0.625,0.6247654784240151
53,0.625,0.6247654784240151
54,0.55,0.5396419437340154
55,0.575,0.5523370638578011
56,0.425,0.41587301587301584
