subject,accuracy,f1_macro
0,0.75,0.7442455242966752
1,0.45,0.41333333333333333
2,0.85,0.849624060150376
3,0.3,0.25333333333333335
4,0.825,0.8240100565681961
5,0.75,0.75
6,0.95,0.95
7,0.425,0.41587301587301584
8,0.425,0.40683430045132174
9,0.55,0.5488721804511278
10,0.95,0.949874686716792
11,0.775,0.7748592870544091
12,0.8,0.8
13,0.55,0.5488721804511278
14,0.575,0.5615731785944552
15,0.575,0.5402298850574713
16,0.6,0.5604395604395604
17,0.925,0.9245757385292269
18,0.675,0.6647324306898775
19,0.6,0.595959595959596
20,0.775,0.7737272155876807
21,0.475,0.43204868154158216
22,0.5,0.45054945054945056
23,0.525,0.49967083607636603
24,0.275,0.27454659161976236
25,0.425,0.42464040025015637
26,0.95,0.95
27,0.675,0.6731615336266499
28,0.475,0.43204868154158216
29,0.725,0.7206349206349206
30,0.575,0.5248078266946191
31,0.65,0.6491228070175439
32,0.725,0.7163120567375887
33,0.675,0.6484110885733604
34,0.575,0.5402298850574713
35,0.9,0.898989898989899
36,0.95,0.949874686716792
37,0.5,0.4987468671679198
38,0.775,0.7737272155876807
39,0.55,0.53125
40,0.525,0.49967083607636603
41,0.45,0.4444444444444444
42,0.625,0.6228786926461345
43,0.75,0.7474747474747474
44,0.5,0.4301994301994302
45,0.6,0.5907928388746804
46,0.7,0.696969696969697
47,0.725,0.7234443746071653
48,0.35,0.3350383631713555
49,0.7,0.6875
50,0.9,0.898989898989899
51,0.525,0.5223130106851037
52,0.625,0.6247654784240151
53,0.625,0.6228786926461345
54,0.5,0.5
55,0.525,0.4689028651292802
56,0.5,0.4949494949494949
